#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.134704E+00   0.183411E+07   0.182741E+07  -0.257854E+01  -0.257854E+01   0.102815E+06   0.182520E+07   0.183304E+07   0.182520E+07  -0.433835E-01   0.956858E+06   0.956825E+06   0.826242E-01
   0.137441E+00   0.178693E+07   0.178026E+07  -0.241319E+01  -0.241320E+01   0.972579E+05   0.177822E+07   0.178587E+07   0.177822E+07  -0.422668E-01   0.932230E+06   0.932196E+06   0.833819E-01
   0.140178E+00   0.173869E+07   0.173193E+07  -0.225726E+01  -0.225727E+01   0.919220E+05   0.173016E+07   0.173761E+07   0.173016E+07  -0.411244E-01   0.907038E+06   0.907001E+06   0.867837E-01
   0.142915E+00   0.168993E+07   0.168298E+07  -0.211073E+01  -0.211074E+01   0.868230E+05   0.168157E+07   0.168883E+07   0.168157E+07  -0.399695E-01   0.881570E+06   0.881531E+06   0.918807E-01
   0.145652E+00   0.164127E+07   0.163406E+07  -0.197360E+01  -0.197361E+01   0.819772E+05   0.163306E+07   0.164012E+07   0.163306E+07  -0.388165E-01   0.856142E+06   0.856100E+06   0.977452E-01
   0.148389E+00   0.159328E+07   0.158579E+07  -0.184585E+01  -0.184585E+01   0.773989E+05   0.158523E+07   0.159209E+07   0.158523E+07  -0.376796E-01   0.831071E+06   0.831025E+06   0.103531E+00
   0.151126E+00   0.154657E+07   0.153881E+07  -0.172738E+01  -0.172739E+01   0.730993E+05   0.153866E+07   0.154533E+07   0.153866E+07  -0.365728E-01   0.806661E+06   0.806612E+06   0.108519E+00
   0.153863E+00   0.150168E+07   0.149370E+07  -0.161808E+01  -0.161808E+01   0.690868E+05   0.149393E+07   0.150042E+07   0.149393E+07  -0.355095E-01   0.783212E+06   0.783160E+06   0.112153E+00
   0.156600E+00   0.145917E+07   0.145103E+07  -0.151777E+01  -0.151778E+01   0.653675E+05   0.145157E+07   0.145788E+07   0.145157E+07  -0.345026E-01   0.761007E+06   0.760954E+06   0.114051E+00
   0.159337E+00   0.141951E+07   0.141130E+07  -0.142622E+01  -0.142622E+01   0.619438E+05   0.141206E+07   0.141821E+07   0.141206E+07  -0.335636E-01   0.740297E+06   0.740242E+06   0.114015E+00
   0.162074E+00   0.138305E+07   0.137486E+07  -0.134304E+01  -0.134305E+01   0.588110E+05   0.137575E+07   0.138175E+07   0.137575E+07  -0.327005E-01   0.721263E+06   0.721208E+06   0.112018E+00
   0.164811E+00   0.134994E+07   0.134187E+07  -0.126773E+01  -0.126773E+01   0.559569E+05   0.134280E+07   0.134866E+07   0.134280E+07  -0.319172E-01   0.703989E+06   0.703936E+06   0.108187E+00
   0.167548E+00   0.132013E+07   0.131227E+07  -0.119959E+01  -0.119959E+01   0.533617E+05   0.131315E+07   0.131889E+07   0.131315E+07  -0.312125E-01   0.688447E+06   0.688395E+06   0.102778E+00
   0.170285E+00   0.129338E+07   0.128580E+07  -0.113783E+01  -0.113784E+01   0.509982E+05   0.128655E+07   0.129217E+07   0.128655E+07  -0.305802E-01   0.674502E+06   0.674453E+06   0.961387E-01
   0.173022E+00   0.126925E+07   0.126202E+07  -0.108160E+01  -0.108160E+01   0.488356E+05   0.126257E+07   0.126810E+07   0.126257E+07  -0.300103E-01   0.661932E+06   0.661886E+06   0.886742E-01
   0.175759E+00   0.124725E+07   0.124041E+07  -0.103006E+01  -0.103006E+01   0.468430E+05   0.124073E+07   0.124617E+07   0.124073E+07  -0.294911E-01   0.650482E+06   0.650440E+06   0.808116E-01
   0.178496E+00   0.122689E+07   0.122046E+07  -0.982450E+00  -0.982453E+00   0.449914E+05   0.122052E+07   0.122587E+07   0.122052E+07  -0.290106E-01   0.639885E+06   0.639846E+06   0.729658E-01
   0.181233E+00   0.120767E+07   0.120164E+07  -0.938117E+00  -0.938120E+00   0.432549E+05   0.120144E+07   0.120671E+07   0.120144E+07  -0.285572E-01   0.629885E+06   0.629849E+06   0.655115E-01
   0.183970E+00   0.118915E+07   0.118351E+07  -0.896496E+00  -0.896498E+00   0.416113E+05   0.118306E+07   0.118826E+07   0.118306E+07  -0.281204E-01   0.620250E+06   0.620218E+06   0.587617E-01
   0.186707E+00   0.117094E+07   0.116565E+07  -0.857113E+00  -0.857115E+00   0.400420E+05   0.116498E+07   0.117010E+07   0.116498E+07  -0.276906E-01   0.610772E+06   0.610743E+06   0.529528E-01
   0.189444E+00   0.115269E+07   0.114769E+07  -0.819579E+00  -0.819581E+00   0.385315E+05   0.114685E+07   0.115189E+07   0.114685E+07  -0.272597E-01   0.601267E+06   0.601240E+06   0.482371E-01
   0.192181E+00   0.113410E+07   0.112933E+07  -0.783582E+00  -0.783584E+00   0.370672E+05   0.112838E+07   0.113334E+07   0.112838E+07  -0.268205E-01   0.591582E+06   0.591557E+06   0.446811E-01
   0.194918E+00   0.111497E+07   0.111037E+07  -0.748897E+00  -0.748899E+00   0.356405E+05   0.110935E+07   0.111423E+07   0.110935E+07  -0.263683E-01   0.581608E+06   0.581583E+06   0.422700E-01
   0.197655E+00   0.109517E+07   0.109068E+07  -0.715384E+00  -0.715386E+00   0.342465E+05   0.108966E+07   0.109446E+07   0.108966E+07  -0.259003E-01   0.571285E+06   0.571261E+06   0.409177E-01
   0.200392E+00   0.107473E+07   0.107029E+07  -0.682989E+00  -0.682990E+00   0.328842E+05   0.106931E+07   0.107402E+07   0.106931E+07  -0.254165E-01   0.560617E+06   0.560592E+06   0.404798E-01
   0.203129E+00   0.105373E+07   0.104929E+07  -0.651722E+00  -0.651724E+00   0.315554E+05   0.104840E+07   0.105303E+07   0.104840E+07  -0.249196E-01   0.549657E+06   0.549632E+06   0.407700E-01
   0.205866E+00   0.103237E+07   0.102789E+07  -0.621642E+00  -0.621644E+00   0.302646E+05   0.102712E+07   0.103166E+07   0.102712E+07  -0.244139E-01   0.538503E+06   0.538477E+06   0.415773E-01
   0.208603E+00   0.101088E+07   0.100633E+07  -0.592825E+00  -0.592827E+00   0.290169E+05   0.100571E+07   0.101016E+07   0.100571E+07  -0.239049E-01   0.527277E+06   0.527251E+06   0.426833E-01
   0.211340E+00   0.989505E+06   0.984872E+06  -0.565350E+00  -0.565352E+00   0.278176E+05   0.984416E+06   0.988769E+06   0.984416E+06  -0.233987E-01   0.516114E+06   0.516086E+06   0.438777E-01
   0.214077E+00   0.968500E+06   0.963786E+06  -0.539283E+00  -0.539284E+00   0.266715E+05   0.963488E+06   0.967751E+06   0.963488E+06  -0.229013E-01   0.505143E+06   0.505114E+06   0.449716E-01
   0.216813E+00   0.948096E+06   0.943310E+06  -0.514669E+00  -0.514670E+00   0.255823E+05   0.943160E+06   0.947335E+06   0.943160E+06  -0.224181E-01   0.494486E+06   0.494456E+06   0.458080E-01
   0.225485E+00   0.889536E+06   0.884691E+06  -0.446443E+00  -0.446445E+00   0.225314E+05   0.884842E+06   0.888766E+06   0.884842E+06  -0.210319E-01   0.463913E+06   0.463882E+06   0.456686E-01
   0.234503E+00   0.840831E+06   0.836265E+06  -0.390177E+00  -0.390178E+00   0.199855E+05   0.836390E+06   0.840106E+06   0.836390E+06  -0.198803E-01   0.438512E+06   0.438483E+06   0.407620E-01
   0.243882E+00   0.801079E+06   0.797043E+06  -0.343716E+00  -0.343717E+00   0.178610E+05   0.796893E+06   0.800438E+06   0.796893E+06  -0.189415E-01   0.417805E+06   0.417780E+06   0.331424E-01
   0.253636E+00   0.764575E+06   0.761056E+06  -0.303333E+00  -0.303333E+00   0.159844E+05   0.760627E+06   0.764016E+06   0.760627E+06  -0.180795E-01   0.398792E+06   0.398772E+06   0.265344E-01
   0.263780E+00   0.725801E+06   0.722560E+06  -0.266240E+00  -0.266240E+00   0.142214E+05   0.722065E+06   0.725286E+06   0.722065E+06  -0.171629E-01   0.378575E+06   0.378556E+06   0.233948E-01
   0.274330E+00   0.683399E+06   0.680184E+06  -0.231773E+00  -0.231774E+00   0.125443E+05   0.679851E+06   0.682888E+06   0.679851E+06  -0.161595E-01   0.356444E+06   0.356425E+06   0.231995E-01
   0.285302E+00   0.641057E+06   0.637814E+06  -0.201008E+00  -0.201008E+00   0.110188E+05   0.637690E+06   0.640542E+06   0.637690E+06  -0.151574E-01   0.334340E+06   0.334320E+06   0.233167E-01
   0.296712E+00   0.603586E+06   0.600461E+06  -0.174982E+00  -0.174983E+00   0.971150E+04   0.600401E+06   0.603089E+06   0.600401E+06  -0.142710E-01   0.314791E+06   0.314772E+06   0.216440E-01
   0.308579E+00   0.571982E+06   0.569139E+06  -0.153319E+00  -0.153319E+00   0.861180E+04   0.568980E+06   0.571530E+06   0.568980E+06  -0.135242E-01   0.298317E+06   0.298300E+06   0.184369E-01
   0.320921E+00   0.542960E+06   0.540400E+06  -0.134568E+00  -0.134568E+00   0.764684E+04   0.540130E+06   0.542553E+06   0.540130E+06  -0.128384E-01   0.283192E+06   0.283177E+06   0.155667E-01
   0.333756E+00   0.512932E+06   0.510517E+06  -0.117538E+00  -0.117538E+00   0.675455E+04   0.510257E+06   0.512549E+06   0.510257E+06  -0.121284E-01   0.267530E+06   0.267516E+06   0.142137E-01
   0.347104E+00   0.482116E+06   0.479750E+06  -0.102142E+00  -0.102142E+00   0.593381E+04   0.479584E+06   0.481740E+06   0.479584E+06  -0.113993E-01   0.251449E+06   0.251434E+06   0.137074E-01
   0.360987E+00   0.453590E+06   0.451315E+06  -0.888491E-01  -0.888493E-01   0.521605E+04   0.451199E+06   0.453228E+06   0.451199E+06  -0.107246E-01   0.236566E+06   0.236553E+06   0.127497E-01
   0.375424E+00   0.428523E+06   0.426421E+06  -0.776094E-01  -0.776096E-01   0.460266E+04   0.426270E+06   0.428189E+06   0.426270E+06  -0.101321E-01   0.223497E+06   0.223484E+06   0.111647E-01
   0.390439E+00   0.405079E+06   0.403140E+06  -0.678313E-01  -0.678314E-01   0.406236E+04   0.402956E+06   0.404771E+06   0.402956E+06  -0.957791E-02   0.211273E+06   0.211261E+06   0.979836E-02
   0.406055E+00   0.381569E+06   0.379724E+06  -0.590751E-01  -0.590752E-01   0.357154E+04   0.379565E+06   0.381276E+06   0.379565E+06  -0.902194E-02   0.199010E+06   0.198998E+06   0.904281E-02
   0.422295E+00   0.358828E+06   0.357060E+06  -0.513635E-01  -0.513637E-01   0.313374E+04   0.356937E+06   0.358547E+06   0.356937E+06  -0.848410E-02   0.187146E+06   0.187135E+06   0.840145E-02
   0.439185E+00   0.338172E+06   0.336516E+06  -0.447559E-01  -0.447560E-01   0.275470E+04   0.336391E+06   0.337909E+06   0.336391E+06  -0.799572E-02   0.176373E+06   0.176363E+06   0.752373E-02
   0.456750E+00   0.318933E+06   0.317391E+06  -0.390263E-01  -0.390264E-01   0.242246E+04   0.317255E+06   0.318688E+06   0.317255E+06  -0.754089E-02   0.166341E+06   0.166331E+06   0.669754E-02
   0.475017E+00   0.300190E+06   0.298730E+06  -0.339621E-01  -0.339622E-01   0.212536E+04   0.298609E+06   0.299958E+06   0.298609E+06  -0.709767E-02   0.156564E+06   0.156555E+06   0.612229E-02
   0.494016E+00   0.282390E+06   0.281008E+06  -0.295385E-01  -0.295386E-01   0.186307E+04   0.280901E+06   0.282171E+06   0.280901E+06  -0.667677E-02   0.147280E+06   0.147272E+06   0.558753E-02
   0.513774E+00   0.265916E+06   0.264623E+06  -0.257174E-01  -0.257175E-01   0.163434E+04   0.264515E+06   0.265711E+06   0.264515E+06  -0.628729E-02   0.138689E+06   0.138681E+06   0.501112E-02
   0.534322E+00   0.250277E+06   0.249062E+06  -0.223792E-01  -0.223793E-01   0.143255E+04   0.248958E+06   0.250084E+06   0.248958E+06  -0.591752E-02   0.130532E+06   0.130525E+06   0.452721E-02
   0.555692E+00   0.235354E+06   0.234206E+06  -0.194574E-01  -0.194575E-01   0.125421E+04   0.234112E+06   0.235172E+06   0.234112E+06  -0.556465E-02   0.122748E+06   0.122742E+06   0.411794E-02
   0.577917E+00   0.221389E+06   0.220311E+06  -0.169224E-01  -0.169224E-01   0.109812E+04   0.220221E+06   0.221218E+06   0.220221E+06  -0.523446E-02   0.115465E+06   0.115459E+06   0.371324E-02
   0.601030E+00   0.208211E+06   0.207198E+06  -0.147146E-01  -0.147146E-01   0.960990E+03   0.207112E+06   0.208050E+06   0.207112E+06  -0.492287E-02   0.108592E+06   0.108586E+06   0.335324E-02
   0.625068E+00   0.195717E+06   0.194764E+06  -0.127883E-01  -0.127884E-01   0.840338E+03   0.194684E+06   0.195566E+06   0.194684E+06  -0.462747E-02   0.102076E+06   0.102070E+06   0.303760E-02
   0.650068E+00   0.183978E+06   0.183083E+06  -0.111146E-01  -0.111146E-01   0.734664E+03   0.183007E+06   0.183836E+06   0.183007E+06  -0.434991E-02   0.959533E+05   0.959480E+05   0.274136E-02
   0.810775E+00   0.129318E+06   0.128689E+06  -0.502243E-02  -0.502244E-02   0.341648E+03   0.128634E+06   0.129218E+06   0.128634E+06  -0.305753E-02   0.674454E+05   0.674417E+05   0.154481E-02
   0.101121E+01   0.903707E+05   0.899312E+05  -0.225635E-02  -0.225635E-02   0.156908E+03   0.898926E+05   0.903009E+05   0.898926E+05  -0.213667E-02   0.471324E+05   0.471298E+05   0.865767E-03
   0.126120E+01   0.628223E+05   0.625168E+05  -0.100836E-02  -0.100836E-02   0.712936E+02   0.624897E+05   0.627738E+05   0.624897E+05  -0.148533E-02   0.327646E+05   0.327628E+05   0.483026E-03
   0.157299E+01   0.434654E+05   0.432541E+05  -0.448501E-03  -0.448502E-03   0.320990E+02   0.432352E+05   0.434318E+05   0.432352E+05  -0.102766E-02   0.226691E+05   0.226679E+05   0.268493E-03
   0.196186E+01   0.299444E+05   0.297988E+05  -0.198634E-03  -0.198635E-03   0.143413E+02   0.297858E+05   0.299212E+05   0.297858E+05  -0.707982E-03   0.156173E+05   0.156164E+05   0.148832E-03
   0.244686E+01   0.205495E+05   0.204496E+05  -0.876311E-04  -0.876314E-04   0.636609E+01   0.204406E+05   0.205336E+05   0.204406E+05  -0.485857E-03   0.107175E+05   0.107169E+05   0.823672E-04
   0.305176E+01   0.140526E+05   0.139843E+05  -0.385240E-04  -0.385241E-04   0.281058E+01   0.139781E+05   0.140417E+05   0.139781E+05  -0.332248E-03   0.732904E+04   0.732863E+04   0.455794E-04
   0.380621E+01   0.957892E+04   0.953233E+04  -0.168814E-04  -0.168815E-04   0.123518E+01   0.952817E+04   0.957152E+04   0.952817E+04  -0.226476E-03   0.499583E+04   0.499554E+04   0.252719E-04
   0.474716E+01   0.651031E+04   0.647862E+04  -0.737583E-05  -0.737585E-05   0.540724E+00   0.647581E+04   0.650527E+04   0.647581E+04  -0.153924E-03   0.339541E+04   0.339521E+04   0.140804E-04
   0.592074E+01   0.441285E+04   0.439134E+04  -0.321400E-05  -0.321401E-05   0.235921E+00   0.438946E+04   0.440943E+04   0.438946E+04  -0.104334E-03   0.230149E+04   0.230135E+04   0.791464E-05
   0.738444E+01   0.298376E+04   0.296919E+04  -0.139704E-05  -0.139704E-05   0.102634E+00   0.296794E+04   0.298145E+04   0.296794E+04  -0.705455E-04   0.155616E+04   0.155606E+04   0.451265E-05
   0.920999E+01   0.201290E+04   0.200304E+04  -0.605877E-06  -0.605879E-06   0.445354E-01   0.200223E+04   0.201134E+04   0.200223E+04  -0.475912E-04   0.104981E+04   0.104974E+04   0.262787E-05
   0.114869E+02   0.135509E+04   0.134842E+04  -0.262210E-06  -0.262210E-06   0.192804E-01   0.134790E+04   0.135403E+04   0.134790E+04  -0.320384E-04   0.706735E+03   0.706681E+03   0.157555E-05
   0.143266E+02   0.910480E+03   0.905963E+03  -0.113258E-06  -0.113258E-06   0.832979E-02   0.905641E+03   0.909762E+03   0.905641E+03  -0.215263E-04   0.474849E+03   0.474807E+03   0.980495E-06
   0.178683E+02   0.610637E+03   0.607572E+03  -0.488316E-07  -0.488317E-07   0.359191E-02   0.607386E+03   0.610150E+03   0.607386E+03  -0.144371E-04   0.318468E+03   0.318433E+03   0.637444E-06
   0.222857E+02   0.408844E+03   0.406755E+03  -0.210183E-07  -0.210183E-07   0.154614E-02   0.406662E+03   0.408512E+03   0.406662E+03  -0.966600E-05   0.213223E+03   0.213194E+03   0.434203E-06
   0.277951E+02   0.273297E+03   0.271862E+03  -0.903230E-08  -0.903233E-08   0.664441E-03   0.271832E+03   0.273069E+03   0.271832E+03  -0.646122E-05   0.142529E+03   0.142504E+03   0.309397E-06
   0.346665E+02   0.182409E+03   0.181410E+03  -0.387558E-08  -0.387559E-08   0.285092E-03   0.181424E+03   0.182250E+03   0.181424E+03  -0.431230E-05   0.951266E+02   0.951027E+02   0.229360E-06
   0.432366E+02   0.121564E+03   0.120857E+03  -0.166047E-08  -0.166048E-08   0.122138E-03   0.120902E+03   0.121452E+03   0.120902E+03  -0.287373E-05   0.633933E+02   0.633705E+02   0.175520E-06
   0.539254E+02   0.808941E+02   0.803805E+02  -0.710376E-09  -0.710378E-09   0.522441E-04   0.804465E+02   0.808125E+02   0.804465E+02  -0.191214E-05   0.421818E+02   0.421596E+02   0.137528E-06
   0.672566E+02   0.537474E+02   0.533616E+02  -0.303451E-09  -0.303452E-09   0.223136E-04   0.534429E+02   0.536861E+02   0.534429E+02  -0.127029E-05   0.280233E+02   0.280012E+02   0.109528E-06
   0.838835E+02   0.356508E+02   0.353494E+02  -0.129415E-09  -0.129416E-09   0.951224E-05   0.354416E+02   0.356029E+02   0.354416E+02  -0.842418E-06   0.185849E+02   0.185627E+02   0.881238E-07
   0.104621E+03   0.236020E+02   0.233559E+02  -0.550918E-10  -0.550920E-10   0.404715E-05   0.234562E+02   0.235629E+02   0.234562E+02  -0.557534E-06   0.123007E+02   0.122784E+02   0.712828E-07
   0.130485E+03   0.155892E+02   0.153794E+02  -0.234012E-10  -0.234013E-10   0.171776E-05   0.154854E+02   0.155558E+02   0.154854E+02  -0.368074E-06   0.812149E+01   0.809891E+01   0.577343E-07
   0.162743E+03   0.102665E+02   0.100809E+02  -0.991289E-11  -0.991292E-11   0.726692E-06   0.101906E+02   0.102370E+02   0.101906E+02  -0.242222E-06   0.534536E+01   0.532260E+01   0.466461E-07
   0.202975E+03   0.673516E+01   0.656660E+01  -0.418426E-11  -0.418428E-11   0.306141E-06   0.667799E+01   0.670838E+01   0.667799E+01  -0.158730E-06   0.350362E+01   0.348083E+01   0.374480E-07
   0.253154E+03   0.439610E+01   0.424081E+01  -0.175800E-11  -0.175801E-11   0.128247E-06   0.435163E+01   0.437143E+01   0.435163E+01  -0.103435E-06   0.228383E+01   0.226126E+01   0.297383E-07
   0.315738E+03   0.285060E+01   0.270756E+01  -0.734239E-12  -0.734241E-12   0.533308E-07   0.281506E+01   0.282787E+01   0.281506E+01  -0.669116E-07   0.147811E+01   0.145612E+01   0.232379E-07
   0.393793E+03   0.183379E+01   0.170401E+01  -0.304494E-12  -0.304495E-12   0.219786E-07   0.180496E+01   0.181317E+01   0.180496E+01  -0.429024E-07   0.948380E+00   0.927401E+00   0.177701E-07
   0.491145E+03   0.116981E+01   0.105532E+01  -0.125370E-12  -0.125370E-12   0.897396E-08   0.114640E+01   0.115162E+01   0.114640E+01  -0.272491E-07   0.602920E+00   0.583414E+00   0.132476E-07
   0.612565E+03   0.741250E+00   0.643812E+00  -0.513600E-13  -0.513601E-13   0.363483E-08   0.722482E+00   0.725770E+00   0.722482E+00  -0.171728E-07   0.380448E+00   0.362745E+00   0.964021E-08
   0.764000E+03   0.468521E+00   0.388138E+00  -0.210393E-13  -0.210393E-13   0.146888E-08   0.453686E+00   0.455751E+00   0.453686E+00  -0.107837E-07   0.239306E+00   0.223502E+00   0.690007E-08
   0.952874E+03   0.296652E+00   0.231411E+00  -0.866082E-14  -0.866084E-14   0.593175E-09   0.284990E+00   0.286287E+00   0.284990E+00  -0.677398E-08   0.150660E+00   0.136707E+00   0.488433E-08
   0.118844E+04   0.188347E+00   0.136057E+00  -0.358666E-14  -0.358667E-14   0.239357E-09   0.179224E+00   0.180040E+00   0.179224E+00  -0.426000E-08   0.950170E-01   0.829053E-01   0.339946E-08
   0.148224E+04   0.119959E+00   0.788404E-01  -0.149519E-14  -0.149520E-14   0.969737E-10   0.112913E+00   0.113427E+00   0.112913E+00  -0.268384E-08   0.600718E-01   0.497487E-01   0.232313E-08
   0.184867E+04   0.767040E-01   0.448848E-01  -0.627923E-15  -0.627924E-15   0.395036E-10   0.713243E-01   0.716489E-01   0.713243E-01  -0.169532E-08   0.381053E-01   0.294708E-01   0.155795E-08
   0.230570E+04   0.492335E-01   0.250576E-01  -0.265465E-15  -0.265466E-15   0.162152E-10   0.451871E-01   0.453927E-01   0.451871E-01  -0.107406E-08   0.242575E-01   0.171844E-01   0.102327E-08
   0.287570E+04   0.317174E-01   0.136810E-01  -0.112851E-15  -0.112851E-15   0.651454E-11   0.287213E-01   0.288520E-01   0.287213E-01  -0.682680E-09   0.154997E-01   0.983445E-02   0.657131E-09
   0.358662E+04   0.205020E-01   0.729058E-02  -0.481656E-16  -0.481657E-16   0.264635E-11   0.183198E-01   0.184032E-01   0.183198E-01  -0.435446E-09   0.994109E-02   0.550841E-02   0.412250E-09
   0.447329E+04   0.132918E-01   0.378660E-02  -0.206041E-16  -0.206041E-16   0.114776E-11   0.117284E-01   0.117817E-01   0.117284E-01  -0.278773E-09   0.639942E-02   0.301230E-02   0.252571E-09
   0.557916E+04   0.863885E-02   0.191519E-02  -0.881909E-17  -0.881910E-17   0.435300E-12   0.753638E-02   0.757067E-02   0.753638E-02  -0.179133E-09   0.413365E-02   0.160553E-02   0.151150E-09
   0.695842E+04   0.562599E-02   0.943274E-03  -0.377177E-17  -0.377178E-17   0.201472E-12   0.485994E-02   0.488206E-02   0.485994E-02  -0.115517E-09   0.267823E-02   0.833156E-03   0.884470E-10
   0.867866E+04   0.366950E-02   0.452693E-03  -0.161024E-17  -0.161024E-17   0.756442E-13   0.314415E-02   0.315845E-02   0.314415E-02  -0.747336E-10   0.173972E-02   0.420888E-03   0.506894E-10
   0.108242E+05   0.239603E-02   0.211935E-03  -0.685845E-18  -0.685845E-18   0.377144E-13   0.203976E-02   0.204905E-02   0.203976E-02  -0.484835E-10   0.113240E-02   0.207230E-03   0.285108E-10
   0.135001E+05   0.156565E-02   0.969537E-04  -0.291388E-18  -0.291388E-18   0.993472E-14   0.132629E-02   0.133232E-02   0.132629E-02  -0.315247E-10   0.738235E-03   0.998150E-04   0.157743E-10
   0.168375E+05   0.102350E-02   0.434626E-04  -0.123499E-18  -0.123499E-18   0.471351E-14   0.863875E-03   0.867806E-03   0.863875E-03  -0.205336E-10   0.481795E-03   0.474408E-04   0.860490E-11
   0.210000E+05   0.669233E-03   0.191987E-04  -0.522272E-19  -0.522272E-19   0.408926E-14   0.563399E-03   0.565963E-03   0.563399E-03  -0.133915E-10   0.314661E-03   0.225634E-04   0.463968E-11
