#           k/h    P           
   0.420980E-02   0.137867E+05
   0.429484E-02   0.139904E+05
   0.438160E-02   0.141956E+05
   0.447012E-02   0.144023E+05
   0.456042E-02   0.146104E+05
   0.465255E-02   0.148199E+05
   0.474653E-02   0.150307E+05
   0.484242E-02   0.152427E+05
   0.494024E-02   0.154559E+05
   0.504004E-02   0.156703E+05
   0.514186E-02   0.158856E+05
   0.524573E-02   0.161020E+05
   0.535170E-02   0.163192E+05
   0.545981E-02   0.165372E+05
   0.557011E-02   0.167559E+05
   0.568263E-02   0.169753E+05
   0.579743E-02   0.171952E+05
   0.591455E-02   0.174155E+05
   0.603403E-02   0.176361E+05
   0.615592E-02   0.178570E+05
   0.628028E-02   0.180780E+05
   0.640715E-02   0.182990E+05
   0.653658E-02   0.185198E+05
   0.666863E-02   0.187404E+05
   0.680335E-02   0.189607E+05
   0.694078E-02   0.191804E+05
   0.708100E-02   0.193995E+05
   0.722404E-02   0.196178E+05
   0.736998E-02   0.198351E+05
   0.751886E-02   0.200514E+05
   0.767075E-02   0.202664E+05
   0.782571E-02   0.204800E+05
   0.798380E-02   0.206920E+05
   0.814509E-02   0.209022E+05
   0.830963E-02   0.211106E+05
   0.847750E-02   0.213168E+05
   0.864875E-02   0.215207E+05
   0.882347E-02   0.217221E+05
   0.900171E-02   0.219209E+05
   0.918356E-02   0.221167E+05
   0.936908E-02   0.223094E+05
   0.955835E-02   0.224988E+05
   0.975144E-02   0.226847E+05
   0.994843E-02   0.228667E+05
   0.101494E-01   0.230448E+05
   0.103544E-01   0.232187E+05
   0.105636E-01   0.233881E+05
   0.107770E-01   0.235528E+05
   0.109947E-01   0.237125E+05
   0.112168E-01   0.238670E+05
   0.114434E-01   0.240160E+05
   0.116746E-01   0.241593E+05
   0.119104E-01   0.242966E+05
   0.121510E-01   0.244276E+05
   0.123965E-01   0.245521E+05
   0.126469E-01   0.246697E+05
   0.129024E-01   0.247803E+05
   0.131631E-01   0.248835E+05
   0.134290E-01   0.249791E+05
   0.137003E-01   0.250668E+05
   0.139770E-01   0.251463E+05
   0.142594E-01   0.252173E+05
   0.145474E-01   0.252796E+05
   0.148413E-01   0.253328E+05
   0.151411E-01   0.253768E+05
   0.154470E-01   0.254112E+05
   0.157590E-01   0.254358E+05
   0.160774E-01   0.254503E+05
   0.164022E-01   0.254545E+05
   0.167335E-01   0.254482E+05
   0.170716E-01   0.254311E+05
   0.174164E-01   0.254031E+05
   0.177683E-01   0.253638E+05
   0.181272E-01   0.253132E+05
   0.184934E-01   0.252511E+05
   0.188670E-01   0.251772E+05
   0.192481E-01   0.250916E+05
   0.196370E-01   0.249940E+05
   0.200337E-01   0.248844E+05
   0.204384E-01   0.247627E+05
   0.208513E-01   0.246289E+05
   0.212725E-01   0.244830E+05
   0.217022E-01   0.243250E+05
   0.221406E-01   0.241550E+05
   0.225879E-01   0.239730E+05
   0.230442E-01   0.237793E+05
   0.235097E-01   0.235739E+05
   0.239847E-01   0.233570E+05
   0.244692E-01   0.231290E+05
   0.249635E-01   0.228901E+05
   0.254678E-01   0.226407E+05
   0.259823E-01   0.223810E+05
   0.265072E-01   0.221117E+05
   0.270426E-01   0.218330E+05
   0.275889E-01   0.215456E+05
   0.281463E-01   0.212500E+05
   0.287149E-01   0.209469E+05
   0.292949E-01   0.206368E+05
   0.298867E-01   0.203206E+05
   0.304905E-01   0.199988E+05
   0.311064E-01   0.196724E+05
   0.317348E-01   0.193422E+05
   0.323759E-01   0.190089E+05
   0.330299E-01   0.186735E+05
   0.336972E-01   0.183369E+05
   0.343779E-01   0.179999E+05
   0.350724E-01   0.176636E+05
   0.357809E-01   0.173293E+05
   0.365038E-01   0.169964E+05
   0.372412E-01   0.166646E+05
   0.379935E-01   0.163356E+05
   0.387610E-01   0.160110E+05
   0.395440E-01   0.156926E+05
   0.403429E-01   0.153813E+05
   0.411579E-01   0.150778E+05
   0.419893E-01   0.147832E+05
   0.428375E-01   0.144980E+05
   0.437029E-01   0.142229E+05
   0.445858E-01   0.139581E+05
   0.454865E-01   0.137038E+05
   0.464053E-01   0.134603E+05
   0.473428E-01   0.132272E+05
   0.482992E-01   0.130044E+05
   0.492749E-01   0.127915E+05
   0.502703E-01   0.125878E+05
   0.512858E-01   0.123930E+05
   0.523219E-01   0.122061E+05
   0.533789E-01   0.120264E+05
   0.544572E-01   0.118536E+05
   0.555573E-01   0.116871E+05
   0.566796E-01   0.115253E+05
   0.578246E-01   0.113701E+05
   0.589927E-01   0.112251E+05
   0.601845E-01   0.110844E+05
   0.614003E-01   0.109395E+05
   0.626407E-01   0.107880E+05
   0.639061E-01   0.106326E+05
   0.651971E-01   0.104736E+05
   0.665142E-01   0.103085E+05
   0.678578E-01   0.101353E+05
   0.692287E-01   0.995285E+04
   0.706272E-01   0.976040E+04
   0.720539E-01   0.955717E+04
   0.735095E-01   0.934274E+04
   0.749945E-01   0.911726E+04
   0.765095E-01   0.888125E+04
   0.780551E-01   0.863563E+04
   0.796319E-01   0.838173E+04
   0.812406E-01   0.812121E+04
   0.828817E-01   0.785601E+04
   0.845561E-01   0.758827E+04
   0.862642E-01   0.732030E+04
   0.880068E-01   0.705450E+04
   0.897847E-01   0.679335E+04
   0.915985E-01   0.653936E+04
   0.934489E-01   0.629499E+04
   0.953367E-01   0.606256E+04
   0.972626E-01   0.584418E+04
   0.992274E-01   0.564154E+04
   0.101232E+00   0.545584E+04
   0.103277E+00   0.528767E+04
   0.105363E+00   0.513692E+04
   0.107492E+00   0.500285E+04
   0.109663E+00   0.488409E+04
   0.111879E+00   0.477880E+04
   0.114139E+00   0.468468E+04
   0.116445E+00   0.459908E+04
   0.118797E+00   0.451902E+04
   0.121197E+00   0.444116E+04
   0.123645E+00   0.436192E+04
   0.126143E+00   0.427768E+04
   0.128691E+00   0.418514E+04
   0.131291E+00   0.408184E+04
   0.133943E+00   0.396656E+04
   0.136649E+00   0.383958E+04
   0.139409E+00   0.370260E+04
   0.142226E+00   0.355834E+04
   0.145099E+00   0.341007E+04
   0.148030E+00   0.326116E+04
   0.151020E+00   0.311491E+04
   0.154071E+00   0.297455E+04
   0.157184E+00   0.284325E+04
   0.160359E+00   0.272388E+04
   0.163598E+00   0.261857E+04
   0.166903E+00   0.252813E+04
   0.170275E+00   0.245175E+04
