#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.709922E-02   0.169022E+08   0.168969E+08  -0.879577E+04  -0.879580E+04   0.000000E+00   0.169014E+08   0.169014E+08   0.169014E+08  -0.397877E+00   0.878204E+07   0.878199E+07   0.233909E+01
   0.733985E-02   0.167884E+08   0.167828E+08  -0.817306E+04  -0.817308E+04   0.000000E+00   0.167875E+08   0.167875E+08   0.167875E+08  -0.395197E+00   0.872288E+07   0.872282E+07   0.239561E+01
   0.758863E-02   0.166714E+08   0.166653E+08  -0.759260E+04  -0.759262E+04   0.000000E+00   0.166704E+08   0.166704E+08   0.166704E+08  -0.392439E+00   0.866202E+07   0.866196E+07   0.245310E+01
   0.784585E-02   0.165510E+08   0.165446E+08  -0.705161E+04  -0.705163E+04   0.000000E+00   0.165500E+08   0.165500E+08   0.165500E+08  -0.389604E+00   0.859944E+07   0.859938E+07   0.251153E+01
   0.811179E-02   0.164272E+08   0.164204E+08  -0.654748E+04  -0.654750E+04   0.000000E+00   0.164262E+08   0.164262E+08   0.164262E+08  -0.386690E+00   0.853512E+07   0.853506E+07   0.257086E+01
   0.838674E-02   0.163001E+08   0.162929E+08  -0.607777E+04  -0.607779E+04   0.000000E+00   0.162990E+08   0.162990E+08   0.162990E+08  -0.383695E+00   0.846902E+07   0.846895E+07   0.263107E+01
   0.867101E-02   0.161695E+08   0.161618E+08  -0.564020E+04  -0.564022E+04   0.000000E+00   0.161683E+08   0.161683E+08   0.161683E+08  -0.380619E+00   0.840111E+07   0.840104E+07   0.269211E+01
   0.896491E-02   0.160354E+08   0.160272E+08  -0.523265E+04  -0.523266E+04   0.000000E+00   0.160341E+08   0.160341E+08   0.160341E+08  -0.377459E+00   0.833138E+07   0.833130E+07   0.275392E+01
   0.926878E-02   0.158977E+08   0.158890E+08  -0.485311E+04  -0.485313E+04   0.000000E+00   0.158963E+08   0.158963E+08   0.158963E+08  -0.374216E+00   0.825978E+07   0.825971E+07   0.281646E+01
   0.958295E-02   0.157563E+08   0.157471E+08  -0.449973E+04  -0.449974E+04   0.000000E+00   0.157549E+08   0.157549E+08   0.157549E+08  -0.370887E+00   0.818631E+07   0.818622E+07   0.287964E+01
   0.990776E-02   0.156113E+08   0.156016E+08  -0.417076E+04  -0.417077E+04   0.000000E+00   0.156098E+08   0.156098E+08   0.156098E+08  -0.367471E+00   0.811092E+07   0.811083E+07   0.294340E+01
   0.102436E-01   0.154626E+08   0.154523E+08  -0.386458E+04  -0.386459E+04   0.000000E+00   0.154610E+08   0.154610E+08   0.154610E+08  -0.363968E+00   0.803359E+07   0.803350E+07   0.300764E+01
   0.105908E-01   0.153101E+08   0.152991E+08  -0.357966E+04  -0.357967E+04   0.000000E+00   0.153084E+08   0.153084E+08   0.153084E+08  -0.360376E+00   0.795431E+07   0.795421E+07   0.307226E+01
   0.109498E-01   0.151538E+08   0.151422E+08  -0.331458E+04  -0.331459E+04   0.000000E+00   0.151520E+08   0.151520E+08   0.151520E+08  -0.356693E+00   0.787303E+07   0.787293E+07   0.313716E+01
   0.113209E-01   0.149936E+08   0.149813E+08  -0.306801E+04  -0.306802E+04   0.000000E+00   0.149917E+08   0.149917E+08   0.149917E+08  -0.352920E+00   0.778974E+07   0.778963E+07   0.320219E+01
   0.117046E-01   0.148295E+08   0.148165E+08  -0.283871E+04  -0.283871E+04   0.000000E+00   0.148275E+08   0.148275E+08   0.148275E+08  -0.349054E+00   0.770441E+07   0.770430E+07   0.326722E+01
