#           k/h    P           
   0.420980E-02   0.133069E+05
   0.429484E-02   0.135038E+05
   0.438160E-02   0.137021E+05
   0.447012E-02   0.139019E+05
   0.456042E-02   0.141030E+05
   0.465255E-02   0.143054E+05
   0.474653E-02   0.145091E+05
   0.484242E-02   0.147139E+05
   0.494024E-02   0.149199E+05
   0.504004E-02   0.151270E+05
   0.514186E-02   0.153350E+05
   0.524573E-02   0.155440E+05
   0.535170E-02   0.157538E+05
   0.545981E-02   0.159644E+05
   0.557011E-02   0.161757E+05
   0.568263E-02   0.163875E+05
   0.579743E-02   0.165999E+05
   0.591455E-02   0.168131E+05
   0.603403E-02   0.170266E+05
   0.615592E-02   0.172399E+05
   0.628028E-02   0.174532E+05
   0.640715E-02   0.176666E+05
   0.653658E-02   0.178798E+05
   0.666863E-02   0.180928E+05
   0.680335E-02   0.183055E+05
   0.694078E-02   0.185176E+05
   0.708100E-02   0.187291E+05
   0.722404E-02   0.189398E+05
   0.736998E-02   0.191496E+05
   0.751886E-02   0.193584E+05
   0.767075E-02   0.195657E+05
   0.782571E-02   0.197714E+05
   0.798380E-02   0.199759E+05
   0.814509E-02   0.201788E+05
   0.830963E-02   0.203799E+05
   0.847750E-02   0.205788E+05
   0.864875E-02   0.207756E+05
   0.882347E-02   0.209700E+05
   0.900171E-02   0.211617E+05
   0.918356E-02   0.213507E+05
   0.936908E-02   0.215368E+05
   0.955835E-02   0.217197E+05
   0.975144E-02   0.218992E+05
   0.994843E-02   0.220750E+05
   0.101494E-01   0.222470E+05
   0.103544E-01   0.224149E+05
   0.105636E-01   0.225785E+05
   0.107770E-01   0.227376E+05
   0.109947E-01   0.228919E+05
   0.112168E-01   0.230412E+05
   0.114434E-01   0.231852E+05
   0.116746E-01   0.233238E+05
   0.119104E-01   0.234566E+05
   0.121510E-01   0.235833E+05
   0.123965E-01   0.237038E+05
   0.126469E-01   0.238178E+05
   0.129024E-01   0.239250E+05
   0.131631E-01   0.240251E+05
   0.134290E-01   0.241179E+05
   0.137003E-01   0.242031E+05
   0.139770E-01   0.242804E+05
   0.142594E-01   0.243496E+05
   0.145474E-01   0.244104E+05
   0.148413E-01   0.244625E+05
   0.151411E-01   0.245057E+05
   0.154470E-01   0.245398E+05
   0.157590E-01   0.245644E+05
   0.160774E-01   0.245793E+05
   0.164022E-01   0.245843E+05
   0.167335E-01   0.245792E+05
   0.170716E-01   0.245638E+05
   0.174164E-01   0.245378E+05
   0.177683E-01   0.245010E+05
   0.181272E-01   0.244533E+05
   0.184934E-01   0.243945E+05
   0.188670E-01   0.243245E+05
   0.192481E-01   0.242430E+05
   0.196370E-01   0.241501E+05
   0.200337E-01   0.240456E+05
   0.204384E-01   0.239294E+05
   0.208513E-01   0.238016E+05
   0.212725E-01   0.236620E+05
   0.217022E-01   0.235108E+05
   0.221406E-01   0.233480E+05
   0.225879E-01   0.231736E+05
   0.230442E-01   0.229878E+05
   0.235097E-01   0.227908E+05
   0.239847E-01   0.225826E+05
   0.244692E-01   0.223636E+05
   0.249635E-01   0.221341E+05
   0.254678E-01   0.218942E+05
   0.259823E-01   0.216445E+05
   0.265072E-01   0.213853E+05
   0.270426E-01   0.211171E+05
   0.275889E-01   0.208403E+05
   0.281463E-01   0.205555E+05
   0.287149E-01   0.202633E+05
   0.292949E-01   0.199642E+05
   0.298867E-01   0.196591E+05
   0.304905E-01   0.193485E+05
   0.311064E-01   0.190333E+05
   0.317348E-01   0.187142E+05
   0.323759E-01   0.183921E+05
   0.330299E-01   0.180677E+05
   0.336972E-01   0.177420E+05
   0.343779E-01   0.174158E+05
   0.350724E-01   0.170901E+05
   0.357809E-01   0.167661E+05
   0.365038E-01   0.164436E+05
   0.372412E-01   0.161223E+05
   0.379935E-01   0.158034E+05
   0.387610E-01   0.154884E+05
   0.395440E-01   0.151791E+05
   0.403429E-01   0.148766E+05
   0.411579E-01   0.145816E+05
   0.419893E-01   0.142950E+05
   0.428375E-01   0.140175E+05
   0.437029E-01   0.137496E+05
   0.445858E-01   0.134917E+05
   0.454865E-01   0.132441E+05
   0.464053E-01   0.130069E+05
   0.473428E-01   0.127800E+05
   0.482992E-01   0.125632E+05
   0.492749E-01   0.123561E+05
   0.502703E-01   0.121582E+05
   0.512858E-01   0.119690E+05
   0.523219E-01   0.117879E+05
   0.533789E-01   0.116140E+05
   0.544572E-01   0.114469E+05
   0.555573E-01   0.112857E+05
   0.566796E-01   0.111282E+05
   0.578246E-01   0.109758E+05
   0.589927E-01   0.108333E+05
   0.601845E-01   0.106963E+05
   0.614003E-01   0.105570E+05
   0.626407E-01   0.104126E+05
   0.639061E-01   0.102656E+05
   0.651971E-01   0.101167E+05
   0.665142E-01   0.996285E+04
   0.678578E-01   0.980156E+04
   0.692287E-01   0.963150E+04
   0.706272E-01   0.945156E+04
   0.720539E-01   0.926069E+04
   0.735095E-01   0.905820E+04
   0.749945E-01   0.884407E+04
   0.765095E-01   0.861874E+04
   0.780551E-01   0.838319E+04
   0.796319E-01   0.813885E+04
   0.812406E-01   0.788753E+04
   0.828817E-01   0.763137E+04
   0.845561E-01   0.737261E+04
   0.862642E-01   0.711361E+04
   0.880068E-01   0.685670E+04
   0.897847E-01   0.660414E+04
   0.915985E-01   0.635816E+04
   0.934489E-01   0.612090E+04
   0.953367E-01   0.589438E+04
   0.972626E-01   0.568050E+04
   0.992274E-01   0.548094E+04
   0.101232E+00   0.529706E+04
   0.103277E+00   0.512975E+04
   0.105363E+00   0.497938E+04
   0.107492E+00   0.484567E+04
   0.109663E+00   0.472769E+04
   0.111879E+00   0.462387E+04
   0.114139E+00   0.453204E+04
   0.116445E+00   0.444950E+04
   0.118797E+00   0.437313E+04
   0.121197E+00   0.429948E+04
   0.123645E+00   0.422490E+04
   0.126143E+00   0.414584E+04
   0.128691E+00   0.405913E+04
   0.131291E+00   0.396239E+04
   0.133943E+00   0.385437E+04
   0.136649E+00   0.373509E+04
   0.139409E+00   0.360582E+04
   0.142226E+00   0.346878E+04
   0.145099E+00   0.332675E+04
   0.148030E+00   0.318282E+04
   0.151020E+00   0.304025E+04
   0.154071E+00   0.290237E+04
   0.157184E+00   0.277257E+04
   0.160359E+00   0.265398E+04
   0.163598E+00   0.254891E+04
   0.166903E+00   0.245837E+04
   0.170275E+00   0.238183E+04
   0.173715E+00   0.231721E+04
   0.177224E+00   0.226158E+04
   0.180804E+00   0.221157E+04
   0.184457E+00   0.216380E+04
   0.188183E+00   0.211499E+04
   0.191985E+00   0.206208E+04
   0.195863E+00   0.200271E+04
   0.199820E+00   0.193576E+04
   0.203856E+00   0.186178E+04
   0.207974E+00   0.178290E+04
   0.212176E+00   0.170214E+04
   0.216462E+00   0.162282E+04
   0.220835E+00   0.154806E+04
   0.225296E+00   0.148043E+04
   0.229847E+00   0.142162E+04
   0.234490E+00   0.137150E+04
   0.239227E+00   0.132908E+04
   0.244060E+00   0.129169E+04
   0.248990E+00   0.125648E+04
   0.254020E+00   0.122071E+04
   0.259152E+00   0.118223E+04
   0.264387E+00   0.114014E+04
   0.269728E+00   0.109450E+04
   0.275177E+00   0.104705E+04
   0.280736E+00   0.999819E+03
   0.286407E+00   0.955198E+03
   0.292193E+00   0.914856E+03
   0.298096E+00   0.879297E+03
   0.304118E+00   0.848193E+03
   0.310261E+00   0.820026E+03
   0.316529E+00   0.793159E+03
   0.322923E+00   0.765877E+03
   0.329447E+00   0.737221E+03
   0.336102E+00   0.707285E+03
   0.342892E+00   0.676852E+03
   0.349819E+00   0.647429E+03
   0.356885E+00   0.620057E+03
   0.364095E+00   0.595219E+03
   0.371450E+00   0.572697E+03
   0.378954E+00   0.551614E+03
   0.386609E+00   0.531125E+03
   0.394419E+00   0.510481E+03
   0.402387E+00   0.489581E+03
   0.410516E+00   0.468863E+03
   0.418809E+00   0.448897E+03
   0.427269E+00   0.430277E+03
   0.435901E+00   0.413017E+03
   0.444706E+00   0.396745E+03
   0.453690E+00   0.381046E+03
   0.462855E+00   0.365541E+03
   0.472206E+00   0.350262E+03
   0.481745E+00   0.335458E+03
   0.491477E+00   0.321337E+03
   0.501405E+00   0.308035E+03
   0.511534E+00   0.295411E+03
   0.521868E+00   0.283230E+03
   0.532411E+00   0.271401E+03
   0.543166E+00   0.259912E+03
   0.554139E+00   0.248859E+03
   0.565333E+00   0.238344E+03
   0.576753E+00   0.228314E+03
   0.588404E+00   0.218680E+03
   0.600291E+00   0.209395E+03
   0.612418E+00   0.200438E+03
   0.624789E+00   0.191840E+03
   0.637411E+00   0.183625E+03
   0.650288E+00   0.175762E+03
   0.663424E+00   0.168216E+03
   0.676826E+00   0.160971E+03
   0.690499E+00   0.154018E+03
   0.704448E+00   0.147345E+03
   0.718679E+00   0.140944E+03
   0.733197E+00   0.134805E+03
   0.748009E+00   0.128919E+03
   0.763119E+00   0.123277E+03
   0.778536E+00   0.117870E+03
   0.794263E+00   0.112689E+03
   0.810308E+00   0.107726E+03
   0.826677E+00   0.102973E+03
   0.843378E+00   0.984216E+02
   0.860415E+00   0.940632E+02
   0.877797E+00   0.898902E+02
   0.895529E+00   0.858950E+02
   0.913620E+00   0.820702E+02
   0.932076E+00   0.784090E+02
   0.950906E+00   0.749046E+02
   0.970115E+00   0.715505E+02
   0.989713E+00   0.683406E+02
   0.100971E+01   0.652690E+02
   0.103010E+01   0.623298E+02
   0.105091E+01   0.595178E+02
   0.107214E+01   0.568277E+02
   0.109380E+01   0.542545E+02
   0.111590E+01   0.517935E+02
   0.113844E+01   0.494399E+02
   0.116144E+01   0.471894E+02
   0.118490E+01   0.450378E+02
   0.120884E+01   0.429807E+02
   0.123326E+01   0.410144E+02
   0.125817E+01   0.391350E+02
   0.128359E+01   0.373388E+02
   0.130952E+01   0.356224E+02
   0.133597E+01   0.339823E+02
   0.136296E+01   0.324153E+02
   0.139049E+01   0.309183E+02
   0.141858E+01   0.294882E+02
   0.144724E+01   0.281222E+02
   0.147648E+01   0.268175E+02
   0.150630E+01   0.255716E+02
   0.153673E+01   0.243817E+02
   0.156778E+01   0.232456E+02
   0.159945E+01   0.221609E+02
   0.163176E+01   0.211253E+02
   0.166472E+01   0.201367E+02
   0.169835E+01   0.191931E+02
   0.173266E+01   0.182924E+02
   0.176766E+01   0.174329E+02
   0.180337E+01   0.166126E+02
   0.183980E+01   0.158299E+02
   0.187697E+01   0.150830E+02
   0.191489E+01   0.143705E+02
   0.195357E+01   0.136907E+02
   0.199304E+01   0.130423E+02
   0.203330E+01   0.124238E+02
   0.207437E+01   0.118339E+02
   0.211628E+01   0.112713E+02
   0.215903E+01   0.107348E+02
   0.220265E+01   0.102232E+02
   0.224714E+01   0.973540E+01
   0.229254E+01   0.927032E+01
   0.233885E+01   0.882693E+01
   0.238610E+01   0.840425E+01
   0.243430E+01   0.800135E+01
   0.248348E+01   0.761732E+01
   0.253365E+01   0.725131E+01
   0.258483E+01   0.690249E+01
   0.263705E+01   0.657008E+01
   0.269032E+01   0.625333E+01
   0.274466E+01   0.595152E+01
   0.280011E+01   0.566396E+01
   0.285668E+01   0.539001E+01
   0.291439E+01   0.512903E+01
   0.297326E+01   0.488042E+01
   0.303332E+01   0.464362E+01
   0.309460E+01   0.441807E+01
   0.315712E+01   0.420326E+01
   0.322090E+01   0.399869E+01
   0.328596E+01   0.380387E+01
   0.335234E+01   0.361837E+01
   0.342006E+01   0.344173E+01
   0.348916E+01   0.327356E+01
   0.355964E+01   0.311344E+01
   0.363155E+01   0.296101E+01
   0.370491E+01   0.281591E+01
   0.377976E+01   0.267779E+01
   0.385611E+01   0.254631E+01
   0.393401E+01   0.242118E+01
   0.401348E+01   0.230209E+01
