# Table 1. Basic cluster data. K(Rδ) is the entropy measured at the radius corresponding to density contrast δ.
# Cool core and morphological classification from Pratt et al. (2009).

# (a) Temperature in keV, measured in the [0.15 - 0.75] R500 aperture
# (b) Mass in units of h^-1_70 1.e14 MSun, estimated from the M500 - YX relation given in Eqn. 1 (Arnaud et al. 2009).
# systems classified as cool cores on the basis of central density vs. cooling time (see Sect. 2.3);
# systems classified as disturbed on the basis of the centre shift parameter <w>.

# T1: spectroscopic temperature of the R < R500 region in keV; (4) L1: luminosity in the R < R500 region
# in units of 10^44 erg s-1; (5) T2: spectroscopic temperature in the [0.15–1] R500 region in keV; (6) L2: luminosity in the [0.15–1] R500 region in units
# of 1044 erg s-1; (7) T3: spectroscopic temperature in the [0.15–0.75] R500 region in keV; (8) YX in units of 10^13 Msun keV; (9) R500 in kpc; (10) ratio
# of the detection radius of the surface brightness profile at 3σ significance, Rdet, to R500

# Cluster        z      kT {a}           M500 {b}         K (0.1 R200) K (R2500)      K (R1000)      K (R500)       T1               L1                 T2               L2                 T3               Y_X                R500    Rdet
RXC-J0958.3-1103 0.1669 5.95 +0.49 -0.33 4.17 +0.22 -0.15 220.23 33.22 875.57  297.68 1421.19 618.50 none    none   5.34 +0.21 -0.21 11.56  +0.15 -0.15 5.85 +0.45 -0.40 5.25   +0.16 -0.16 6.30 +0.50 -0.44 28.04  +2.67 -2.30 1077.4  0.78
RXC-J1044.5-0704 0.1342 3.58 +0.05 -0.05 2.27 +0.02 -0.02 164.67 06.09 447.65  21.65  722.02  84.78  1021.75 127.41 3.41 +0.03 -0.03 7.42   +0.02 -0.02 3.52 +0.05 -0.05 3.00   +0.02 -0.02 3.57 +0.05 -0.05 11.77  +0.19 -0.19 931.9   1.09
RXC-J1141.4-1216 0.1195 3.58 +0.06 -0.06 2.27 +0.02 -0.02 197.66 07.26 557.71  25.24  849.48  74.07  1016.40 91.66  3.31 +0.03 -0.03 3.75   +0.01 -0.01 3.40 +0.06 -0.06 1.70   +0.01 -0.01 3.54 +0.05 -0.05 8.60   +0.16 -0.15 885.2   1.25
RXC-J1236.7-3354 0.0796 2.77 +0.06 -0.05 1.33 +0.02 -0.02 179.13 06.56 469.68  25.36  849.80  133.02 none    none   2.70 +0.05 -0.05 1.03   +0.01 -0.01 2.57 +0.11 -0.03 0.61   +0.01 -0.01 2.73 +0.09 -0.01 3.27   +0.15 -0.02 753.5   0.99
RXC-J1302.8-0230 0.0847 3.48 +0.08 -0.08 1.89 +0.03 -0.03 310.02 16.16 741.95  43.99  779.02  89.95  684.30  52.30  2.97 +0.06 -0.07 1.38   +0.01 -0.01 2.92 +0.09 -0.07 0.83   +0.01 -0.01 3.44 +0.07 -0.07 6.07   +0.19 -0.18 842.1   1.22
RXC-J1311.4-0120 0.1832 8.67 +0.12 -0.12 8.41 +0.08 -0.08 337.47 10.26 1044.38 56.40  1653.59 116.17 none    none   8.91 +0.08 -0.08 36.06  +0.08 -0.08 8.24 +0.13 -0.13 15.13  +0.07 -0.07 8.44 +0.12 -0.12 88.18  +1.51 -1.50 1319.2  1.31
RXC-J1516.3+0005 0.1181 4.68 +0.13 -0.08 3.28 +0.07 -0.04 321.83 16.45 673.65  35.14  1004.69 96.87  none    none   4.51 +0.06 -0.06 4.12   +0.02 -0.02 4.18 +0.08 -0.08 2.77   +0.02 -0.02 4.48 +0.07 -0.07 15.81  +0.30 -0.31 989.9   1.29
RXC-J1516.5-0056 0.1198 3.70 +0.10 -0.08 2.59 +0.05 -0.04 314.75 22.64 712.59  51.51  728.24  54.37  732.28  50.80  3.55 +0.07 -0.07 2.31   +0.02 -0.02 3.40 +0.08 -0.08 1.77   +0.02 -0.02 3.74 +0.10 -0.09 11.08  +0.41 -0.36 927.0   1.37
RXC-J2014.8-2430 0.1538 5.75 +0.10 -0.10 5.38 +0.07 -0.07 263.67 12.80 726.64  39.70  1158.45 96.11  none    none   4.78 +0.05 -0.05 21.06  +0.07 -0.07 5.63 +0.11 -0.11 7.52   +0.07 -0.07 5.73 +0.10 -0.10 39.89  +0.78 -0.82 1155.3  1.09
RXC-J2023.0-2056 0.0564 2.72 +0.09 -0.09 1.21 +0.03 -0.03 248.64 15.10 527.38  58.61  657.84  42.38  none    none   2.71 +0.09 -0.09 0.61   +0.01 -0.01 2.46 +0.12 -0.12 0.40   +0.01 -0.01 2.72 +0.09 -0.09 2.81   +0.13 -0.12 739.5   0.86
RXC-J2048.1-1750 0.1475 5.06 +0.11 -0.11 4.32 +0.07 -0.07 409.74 35.68 743.70  46.76  1006.16 53.29  1086.97 79.89  4.65 +0.13 -0.07 5.13   +0.03 -0.03 4.59 +0.08 -0.08 4.40   +0.03 -0.03 5.01 +0.11 -0.11 26.91  +0.81 -0.80 1078.0  1.48
RXC-J2129.8-5048 0.0796 3.84 +0.14 -0.14 2.26 +0.06 -0.06 441.52 31.94 644.40  53.66  861.48  67.50  none    none   3.81 +0.15 -0.15 1.46   +0.02 -0.02 3.64 +0.16 -0.12 1.19   +0.02 -0.02 3.88 +0.14 -0.14 8.67   +0.40 -0.41 900.6   0.93
RXC-J2149.1-3041 0.1184 3.48 +0.07 -0.07 2.25 +0.03 -0.03 196.26 09.85 513.99  32.71  762.82  80.24  1062.45 185.45 3.26 +0.04 -0.04 3.56   +0.02 -0.02 3.40 +0.08 -0.08 1.58   +0.02 -0.02 3.50 +0.07 -0.07 8.65   +0.32 -0.32 886.6   1.26
RXC-J2157.4-0747 0.0579 2.79 +0.07 -0.07 1.29 +0.03 -0.03 390.50 40.35 659.44  65.91  675.83  23.62  none    none   2.46 +0.08 -0.08 0.45   +0.01 -0.01 2.30 +0.10 -0.06 0.37   +0.01 -0.01 2.76 +0.07 -0.07 3.07   +0.11 -0.11 751.5   0.97
RXC-J2217.7-3543 0.1486 4.62 +0.09 -0.08 3.61 +0.05 -0.05 282.04 13.59 610.69  34.87  872.97  62.41  1076.81 107.72 4.86 +0.09 -0.09 6.12   +0.03 -0.03 4.45 +0.09 -0.09 3.70   +0.03 -0.03 4.65 +0.10 -0.08 20.32  +0.54 -0.47 1022.6  1.33
